iin_isam_id,logical_group,post_identifier,process_id,ticket_id,pending,naked,acked_with_failures
6335970A30011A,GWR - SB - TVM - Group B,eceliveisas3,8298,132,4,0,0
6335970A300092,GWR - Vix - PVal - Group 1,eceliveisas3,8299,133,4,0,0
6335970A300093,GWR - Vix - PVal - Group 1,000330-13f224,8299,133,4,0,0
6335970A300094,GWR - Vix - PVal - Group 1,000330-13f224,8299,133,4,0,0
6335970A30000F,GWR - WL - TVM - Group A,000326-003333,8301,135,4,0,0
6335970A300011,GWR - WL - TVM - Group A,000326-003333,8301,135,4,0,0
6335970A300012,GWR - WL - TVM - Group A,000326-003333,8301,135,4,0,0
6335970A300013,GWR - WL - TVM - Group A,000326-003333,8301,135,4,0,0
6335970A30001B,GWR - WL - TVM - Group A,000326-003333,8301,135,4,0,0
6335970A3000D8,GWR - WL - TVM - Group B,eceliveisas3,8302,136,4,0,0
6335970A3000D9,GWR - WL - TVM - Group B,eceliveisas3,8302,136,4,0,0
6335970A3000DA,GWR - WL - TVM - Group B,eceliveisas3,8302,136,4,0,0
6335970A3000DB,GWR - WL - TVM - Group B,eceliveisas3,8302,136,4,0,0
6335970A3000DC,GWR - WL - TVM - Group B,eceliveisas3,8302,136,4,0,0
6335970A3000D8,GWR - WL - TVM - Group B,eceliveisas3,11545,,1,0,0
6335970A3000D9,GWR - WL - TVM - Group B,eceliveisas3,11545,,1,0,0
6335970A3000DA,GWR - WL - TVM - Group B,eceliveisas3,11545,,1,0,0
6335970A3000DB,GWR - WL - TVM - Group B,eceliveisas3,11545,,1,0,0
6335970A3000DC,GWR - WL - TVM - Group B,eceliveisas3,11545,,1,0,0
6335970A30001C,GWR - SB - TVM - Group A,eceliveisas3,11546,,1,0,0
6335970A30001D,GWR - SB - TVM - Group A,eceliveisas3,11546,,1,0,0
6335970A30001E,GWR - SB - TVM - Group A,eceliveisas3,11546,,1,0,0
6335970A300020,GWR - Euclid - LCID - Group A,Euclid Dummy POST,11547,,1,0,0
6335970A300021,GWR - Euclid - LCID - Group A,Euclid POST 2,11547,,1,0,0
6335970A300039,GWR - Euclid - LCID - Group A,Euclid POST 4,11547,,1,0,0
6335970A300023,GWR - Fujitsu - mTIS - group A,000170-000747,11548,,1,0,0
6335970A300024,GWR - Fujitsu - mTIS - group A,000170-002623,11548,,1,0,0
6335970A300025,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300026,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300027,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300028,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A300029,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A30002A,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
6335970A30002B,GWR - Fujitsu - mTIS - group A,eceliveisas3,11548,,1,0,0
